Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
75;75;2019-01-01T11:01:15.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;19,0;33,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
76;76;2019-01-01T11:01:16.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;20,0;32,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
77;77;2019-01-01T11:01:17.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;21,0;31,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
78;78;2019-01-01T11:01:18.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;22,0;30,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
79;79;2019-01-01T11:01:19.0000000+01:00;10;red;standing;80;False;2;0;0;0;False;0;7.0;7.0;True;2;1.0;50.0;23,0;29,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
80;80;2019-01-01T11:01:20.0000000+01:00;10;red;standing;60;False;2;0;0;0;False;0;7.0;7.0;True;1;1.0;50.0;24,0;28,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
81;81;2019-01-01T11:01:21.0000000+01:00;10;red;standing;40;False;2;0;0;0;False;0;7.0;7.0;True;1;1.0;50.0;25,0;27,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
82;82;2019-01-01T11:01:22.0000000+01:00;10;red;standing;20;False;2;0;0;1;False;0;7.0;7.0;True;2;1.0;50.0;26,0;26,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
83;83;2019-01-01T11:01:23.0000000+01:00;10;red;standing;20;False;2;0;0;1;False;0;7.0;7.0;True;1;1.0;50.0;25,0;27,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
84;84;2019-01-01T11:01:24.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;1;1.0;50.0;2,0;49,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
